"phenotype","keep"
"Interleukin-10 levels",1
"C-reactive protein levels",1
"Interleukin-6 receptor subunit alpha levels",1
"C-X-C motif chemokine 10 levels",1
"CCL24 levels",1
"CXCL5 levels",1
"interleukin 17 receptor B levels",1
"High IL-1beta levels in gingival crevicular fluid",1
"Midgestational cytokine/chemokine levels (maternal genetic effect)",1
"Neonatal cytokine/chemokine levels (maternal genetic effect)",1
"Neonatal cytokine/chemokine levels (fetal genetic effect)",1
"Interferon alpha levels in systemic lupus erythematosus",1
"C-reactive protein",1
"TRAIL levels",1
"Interferon gamma levels",1
"Interleukin-18 levels",1
"Interleukin-17 levels",1
"Interleukin-2 receptor antagonist levels",1
"Interleukin-7 levels",1
"Interferon gamma-induced protein 10 levels",1
"Interleukin-12p70 levels",1
"Interleukin-16 levels",1
"Interleukin-6 levels",1
"CCL23 levels",1
"CCL25 levels",1
"CXCL6 levels",1
"Interleukin-10 receptor B levels",1
"Interleukin-12 subunit B levels",1
"interleukin 15 receptor subunit alpha levels",1
"Interleukin-6 levels in HIV infection",1
"High-sensitivity C-reactive protein levels in HIV infection",1
"Serum C-reactive protein concentration",1
"Serum C-reactive protein concentration in non-obese individuals",1
"Serum C-reactive protein concentration in low fat diet",1
"Serum C-reactive protein concentration in high fat diet",1
"Serum C-reactive protein concentration in visceral obesity (waist-hip ratio)",1
"Serum C-reactive protein concentration in visceral obesity (waist circumference)",1
"Serum interleukin-6 concentration in active individuals",1
"Serum levels of protein IL5RA",1
"Serum levels of protein IL6R",1
"Serum levels of protein IL6ST",1
"Serum levels of protein IL7R",1
"Serum levels of protein IL9",1
"Serum levels of protein IL17RD",1
"Serum levels of protein IL18R1",1
"Serum levels of protein IL18RAP",1
"Serum levels of protein IL19",1
"Serum levels of protein IL1B",1
"Serum levels of protein IL1R2",1
"Serum levels of protein IL1RAP",1
"Serum levels of protein IL1RL1",1
"Serum levels of protein IL12B",1
"Serum levels of protein IL12B;IL23A",1
"Serum levels of protein IL12RB2",1
"Serum levels of protein IL13RA1",1
"Serum levels of protein IL15",1
"Serum levels of protein IL15RA",1
"Serum levels of protein IL16",1
"Serum levels of protein IL17RA",1
"Serum levels of protein IL17RB",1
"Serum levels of protein IL1RL2",1
"Serum levels of protein IL21",1
"Serum levels of protein IL22",1
"Serum levels of protein IL22RA2",1
"Serum levels of protein IL23R",1
"Serum levels of protein IL27RA",1
"Serum levels of protein IL34",1
"Serum levels of protein IL36A",1
"Serum levels of protein IL36G",1
"Serum levels of protein IL3RA",1
"Serum levels of protein IL5",1
"Serum levels of protein CCL19",1
"Serum levels of protein CCL2",1
"Serum levels of protein CCL21",1
"Serum levels of protein CCL22",1
"Serum levels of protein CCL23",1
"Serum levels of protein CCL25",1
"Serum levels of protein CCL27",1
"Serum levels of protein CCL28",1
"Serum levels of protein CCL3L3",1
"Serum levels of protein CCL4L1",1
"Serum levels of protein CCL5",1
"Serum levels of protein CCL8",1
"Serum levels of protein CCL1",1
"Serum levels of protein CCL11",1
"Serum levels of protein CCL13",1
"Serum levels of protein CCL14",1
"Serum levels of protein CCL15",1
"Serum levels of protein CCL17",1
"Serum levels of protein CCL18",1
"Serum levels of protein IL10RA",1
"Serum levels of protein IL10RB",1
"Serum levels of protein IL11RA",1
"Serum levels of protein CXCL5",1
"Serum levels of protein CXCL6",1
"Serum levels of protein CXCL8",1
"Serum levels of protein CXCL9",1
"Serum levels of protein CXCL1",1
"Serum levels of protein CXCL11",1
"Serum levels of protein CXCL12",1
"Serum levels of protein CXCL16",1
"Serum levels of protein CXCL2;CXCL3",1
"Interleukin-1-beta levels",1
"Serum levels of protein TNF",1
"Serum levels of protein TNFAIP6",1
"Serum levels of protein TNFAIP8",1
"Serum levels of protein TNFRSF10A",1
"Serum levels of protein TNFRSF10B",1
"Serum levels of protein TNFRSF11A",1
"Serum levels of protein TNFRSF11B",1
"Serum levels of protein TNFRSF12A",1
"Serum levels of protein TNFRSF13B",1
"Serum levels of protein TNFRSF14",1
"Serum levels of protein TNFRSF18",1
"Serum levels of protein TNFRSF19",1
"Serum levels of protein TNFRSF1A",1
"Serum levels of protein TNFRSF1B",1
"Serum levels of protein TNFRSF8",1
"Serum levels of protein TNFSF11",1
"Serum levels of protein TNFSF12",1
"Serum levels of protein TNFSF18",1
"TNF-related apoptosis-inducing ligand receptor 2 levels",1
"Interleukin-27 levels",1
"Pro-interleukin-16 levels",1
"TNF-related activation-induced cytokine levels",1
"Interleukin-1-receptor antagonist levels",1
"TNF-related apoptosis-inducing ligand levels",1
"Serum levels of protein EBI3;IL27",1
"Candida albicans stimulated CCL3 levels",1
"Interleukin-6 levels in non-alcoholic fatty liver disease x mastiha supplementation interaction",1
"TNF-alpha gene expression levels in non-alcoholic fatty liver disease x mastiha supplementation interaction",1
