"diseases","keep"
"Activated & resting CD4 regulatory T cell %CD4 regulatory T cell",1
"Activated & resting CD4 regulatory T cell %CD4+ T cell",1
"Activated & resting CD4 regulatory T cell Absolute Count",1
"Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell",1
"Activated & secreting CD4 regulatory T cell %CD4+ T cell",1
"Activated & secreting CD4 regulatory T cell Absolute Count",1
"Activated CD4 regulatory T cell %CD4 regulatory T cell",1
"Activated CD4 regulatory T cell Absolute Count",1
"ADAMTS13 activity",1
"ADAMTS13 levels",1
"Anti-anoctamin 2 antibody levels",1
"Anti-chlamydia trachomatis IgG seropositivity",1
"Anti-Epstein-Barr virus IgG seropositivity",1
"Anti-Epstein-Barr virus nuclear antigen (EBNA) IgG levels",1
"Anti-herpes simplex virus 2 IgG seropositivity",1
"Anti-human herpes virus 6 IE1A IgG seropositivity",1
"Anti-JC polyomavirus IgG seropositivity",1
"Anti-Merkel cell polyomavirus IgG seropositivity",1
"Anti-polyomavirus 2 IgG seropositivity",1
"Anti-rubella virus IgG levels",1
"Anti-Toxoplasma gondii IgG seropositivity",1
"Anti-varicella zoster virus IgG seropositivity",1
"Antibody level in response to infection",1
"Antibody status in Tripanosoma cruzi seropositivity",1
"Aortic vascular smooth muscle cell proliferation in response to IL-1 beta",1
"B cell %CD3- lymphocyte",1
"B cell %lymphocyte",1
"B cell Absolute Count",1
"B cell lymphocyte profile difference",1
"BAFF-R on B cell",1
"BAFF-R on CD20- B cell",1
"BAFF-R on CD20- CD38- B cell",1
"BAFF-R on CD24+ CD27+ B cell",1
"BAFF-R on IgD- CD24- B cell",1
"BAFF-R on IgD- CD27- B cell",1
"BAFF-R on IgD- CD38- B cell",1
"BAFF-R on IgD- CD38+ B cell",1
"BAFF-R on IgD- CD38dim B cell",1
"BAFF-R on IgD+ B cell",1
"BAFF-R on IgD+ CD24- B cell",1
"BAFF-R on IgD+ CD24+ B cell",1
"BAFF-R on IgD+ CD38- B cell",1
"BAFF-R on IgD+ CD38+ B cell",1
"BAFF-R on IgD+ CD38dim B cell",1
"BAFF-R on memory B cell",1
"BAFF-R on naive-mature B cell",1
"BAFF-R on switched memory B cell",1
"BAFF-R on transitional B cell",1
"BAFF-R on unswitched memory B cell",1
"Basophil %CD33dim HLA DR- CD66b-",1
"Basophil Absolute Count",1
"Basophil count",1
"Basophil percentage of granulocytes",1
"Basophil percentage of white cells",1
