"bio_category","mean_eff_size","perm_pval","padj"
"Anti-tumour mac",0.0167533594790426,0.0130333333333333,0.01964
"B/Plasma",0.0163095172099497,0.015538,0.01964
"BulkRNAseq",0.0180199362235711,0.0085,0.01964
"CD4 Tcm",0.0162830866110841,0.01002,0.01964
"CD4 Th",0.0168839978619664,0.01944,0.01964
"CD8 Teff",0.0169435211496266,0.01089,0.01964
"CD8 Tem",0.0159820030299951,0.01942,0.01964
"CNA",0.016824018370648,0.01544,0.01964
"CRISPR",0.016727894253409,0.0141585714285714,0.01964
"DCs",0.0166737589027017,0.0141666666666667,0.01964
"DCs -veMANA",0.0163051698482006,0.01072,0.01964
"DCs dysfunctional",0.0171383867265629,0.01964,0.01964
"DCs functional",0.0185686802775229,0.00523333333333333,0.01964
"DCs mature",0.0167229800942522,0.01964,0.01964
"DCs precursor",0.0159971444237608,0.01834,0.01964
"GRN",0.0323073087235121,2e-05,0.00056
"HLA-pep",0.0166708170889812,0.01594,0.01964
"Immunosuppressive mac",0.0168280533835456,0.0127057142857143,0.01964
"Macrophage",0.0171891230689828,0.0122777777777778,0.01964
"Mutation",0.0168482770253328,0.01394,0.01964
"NK-like",0.0168355947859782,0.01472,0.01964
"T naïve",0.0164896286994898,0.0169,0.01964
"T proliferating",0.0167295050472654,0.01862,0.01964
"Tcell",0.0165279823843144,0.01374,0.01964
"Terminal Tex",0.015918088219804,0.01744,0.01964
"Treg",0.018762095639745,0.00654,0.01964
"autoimmunity",0.0243891891653585,0.00864,0.01964
"gSNP",0.0157154634595218,0.01926,0.01964
