"CV_fold","feature","auc","set"
0,"GiG",0.967823849777807,"Orig"
1,"GiG",0.97841558354773,"Orig"
2,"GiG",0.96688830231548,"Orig"
3,"GiG",0.962478530849518,"Orig"
4,"GiG",0.97014136609856,"Orig"
5,"GiG",0.948341920993526,"Orig"
6,"GiG",0.961124322896023,"Orig"
7,"GiG",0.974996697053772,"Orig"
8,"GiG",0.97952173338618,"Orig"
9,"GiG",0.981899854670366,"Orig"
10,"GiG",0.966821477496742,"Orig"
11,"GiG",0.973871495873567,"Orig"
12,"GiG",0.977379798857296,"Orig"
13,"GiG",0.987019421323821,"Orig"
14,"GiG",0.966805390408244,"Orig"
15,"GiG",0.975855463073061,"Orig"
16,"GiG",0.973246135552913,"Orig"
17,"GiG",0.975657286299379,"Orig"
18,"GiG",0.983650416171225,"Orig"
19,"GiG",0.968456863522262,"Orig"
20,"GiG",0.984028868321695,"Orig"
21,"GiG",0.983394032543687,"Orig"
22,"GiG",0.969895419158675,"Orig"
23,"GiG",0.979290527150218,"Orig"
24,"GiG",0.964988769982825,"Orig"
25,"GiG",0.969711983088915,"Orig"
26,"GiG",0.980281411018629,"Orig"
27,"GiG",0.975029726516052,"Orig"
28,"GiG",0.972618575769586,"Orig"
29,"GiG",0.98510371251156,"Orig"
30,"GiG",0.974807043335895,"Orig"
31,"GiG",0.987303284439841,"Orig"
32,"GiG",0.980019379197434,"Orig"
33,"GiG",0.989133306909764,"Orig"
34,"GiG",0.964361210199498,"Orig"
35,"GiG",0.979356586074779,"Orig"
36,"GiG",0.970108336636279,"Orig"
37,"GiG",0.985169771436121,"Orig"
38,"GiG",0.976615140705509,"Orig"
39,"GiG",0.989265424758885,"Orig"
40,"GiG",0.982592134718835,"Orig"
41,"GiG",0.982124360987671,"Orig"
42,"GiG",0.970396605299208,"Orig"
43,"GiG",0.980611705641432,"Orig"
44,"GiG",0.975260932752015,"Orig"
45,"GiG",0.976086669309024,"Orig"
46,"GiG",0.968225657286299,"Orig"
47,"GiG",0.982131060906328,"Orig"
48,"GiG",0.973279165015194,"Orig"
49,"GiG",0.97479852028009,"Orig"
50,"GiG",0.969728357111831,"Orig"
51,"GiG",0.967489725684119,"Orig"
52,"GiG",0.970296368071102,"Orig"
53,"GiG",0.97109922050469,"Orig"
54,"GiG",0.968027480512617,"Orig"
55,"GiG",0.966111771700357,"Orig"
56,"GiG",0.982989826925618,"Orig"
57,"GiG",0.961817941603911,"Orig"
58,"GiG",0.988505747126437,"Orig"
59,"GiG",0.978629937904611,"Orig"
60,"GiG",0.95853519997327,"Orig"
61,"GiG",0.973336897323666,"Orig"
62,"GiG",0.983394032543687,"Orig"
