GeneSet,Description,ES,NES,FDR,size,leadingEdge
R-HSA-6783783,Interleukin-10 signaling,0.86689249,2.307748203,0,36,32
R-HSA-451927,Interleukin-2 family signaling,0.86444136,2.302475461,0,38,34
R-HSA-380108,Chemokine receptors bind chemokines,0.85909972,2.296874156,0,35,29
R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",0.858974497,2.291108776,0,40,37
R-HSA-5669034,TNFs bind their physiological receptors,0.892737752,2.279284418,0,23,21
R-HSA-5676594,"TNF receptor superfamily (TNFSF) members
mediating non-canonical NF-kB pathway",0.921973707,2.259139675,0,14,14
R-HSA-5260271,Diseases of Immune System,0.895295506,2.241368024,0,21,19
R-HSA-5602358,Diseases associated with the TLR signaling cascade,0.895295506,2.241368024,0,21,19
R-HSA-912526,Interleukin receptor SHC signaling,0.881235242,2.238980728,0,23,22
R-HSA-1059683,Interleukin-6 signaling,0.965008108,2.226624451,0,11,11
R-HSA-8854691,Interleukin-20 family signaling,0.870600527,2.221125026,0,22,20
R-HSA-9020558,Interleukin-2 signaling,0.97823675,2.214376647,0,11,11
R-HSA-8984722,Interleukin-35 Signalling,0.939603464,2.197650519,0,12,11
R-HSA-982772,Growth hormone receptor signaling,0.884711402,2.192149438,0,20,17
R-HSA-389948,PD-1 signaling,0.940537963,2.190170353,0,12,11
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,0.94973116,2.184051325,0,11,11
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,0.764197845,2.182681844,0,96,73
R-HSA-449147,Signaling by Interleukins,0.728384114,2.179253865,0,373,241
R-HSA-140534,"Caspase activation via Death Receptors
in the presence of ligand",0.900709166,2.175544619,0,15,14
R-HSA-6783589,Interleukin-6 family signaling,0.853026913,2.172055348,0,22,19
R-HSA-2586552,Signaling by Leptin,0.940428437,2.152249151,0,11,11
R-HSA-912694,Regulation of IFNA signaling,0.921824876,2.148635572,0,12,11
R-HSA-1433557,Signaling by SCF-KIT,0.799787621,2.139786478,0,41,38
R-HSA-168638,NOD1/2 Signaling Pathway,0.823258149,2.13730826,0,27,25
R-HSA-202733,Cell surface interactions at the vascular wall,0.744668375,2.133634471,0,104,78
