"pathway_id","gene_expl","pathway_name","orig_pred","med_perm","mean_perm","sd_perm","med_perm_imp","mean_perm_imp","mean_abs_perm_imp","med_abs_perm_imp","mean_abs_perm_imp_norm","med_abs_perm_imp_norm","mean_abs_perm_imp_norm_log2edge","med_abs_perm_imp_norm_log2edge","mean_abs_perm_imp_norm_sqrtedge","med_abs_perm_imp_norm_sqrtedge","sd_perm_imp","all_gene_counts","graph_gene_counts","edge_count"
"REACT:R-HSA-1280215","OSMR","Cytokine Signaling in Immune system",0.965081927,0.49442579,0.522825053629,0.289056328798025,0.48250741,0.442256873371,0.443888989351,0.48250741,0.000109955162088432,0.000119521280653951,0.0370553864552183,0.0402792116362194,0.00698626407841555,0.00759407028991838,0.282291222136246,760,586,4037
"REACT:R-HSA-1280215","OSM","Cytokine Signaling in Immune system",0.966355366,0.493855075,0.529282538434,0.280886434048106,0.467069165,0.437072827566,0.437098241846,0.467069165,0.000108273034888779,0.000115697093138469,0.0364885019882585,0.038990443163945,0.00687938610554865,0.00735109139414768,0.270682573123214,760,586,4037
"REACT:R-HSA-1280218","PTPN22","Adaptive Immune System",0.79336991,0.685150975,0.6614435133,0.210585590632423,0.13186275,0.1319263967,0.19945431808,0.16822413,5.27936257490736e-05,4.45272975119111e-05,0.0167842705638594,0.0141562205344553,0.00324498330084335,0.00273688981970272,0.207739451392452,818,629,3778
"REACT:R-HSA-168256","OSMR","Immune System",0.965081927,0.354244,0.425518768788,0.275521561666584,0.621688315,0.539563158212,0.540070825132,0.621688315,4.7069097536343e-05,5.41823527104759e-05,0.040046536353675,0.0460985162477855,0.00504188916425891,0.00580383800250416,0.266238749519992,2118,1554,11474
"REACT:R-HSA-168256","PTPN22","Immune System",0.79336991,0.72204777,0.681723935614,0.233758106378262,0.08687487,0.111645974386,0.214375537646,0.169084135,1.86835922647725e-05,1.47362850793097e-05,0.0158960591133225,0.0125376777341235,0.00200132584476373,0.00157850309336045,0.259042931400075,2118,1554,11474
"REACT:R-HSA-168256","OSM","Immune System",0.966355366,0.48322815,0.50979301251,0.290838366522462,0.46757767,0.45656235349,0.45673023051,0.46757767,3.9805667640753e-05,4.07510606588809e-05,0.0338667873338106,0.0346711306896555,0.00426385409660856,0.00436512153243277,0.285810319920935,2118,1554,11474
"REACT:R-HSA-202403","PTPN22","TCR signaling",0.79336991,0.630934225,0.64697136055,0.192460133604837,0.11299723,0.14639854945,0.15725695415,0.11607543,0.000189010762199519,0.000139513737980769,0.0162113222409814,0.0119659967354803,0.00545190395779918,0.00402419148737049,0.153574038929711,122,93,832
"REACT:R-HSA-202427","PTPN22","Phosphorylation of CD3 and TCR zeta chains",0.79336991,0.86525495,0.80719121477,0.195937721542517,-0.00119587499999996,-0.01382130477,0.05228502353,0.028010295,0.00248976302523809,0.00133382357142857,0.0119037443102011,0.00637711082872502,0.0114095275256558,0.00611234747978776,0.0792979657230409,25,11,21
"REACT:R-HSA-202430","PTPN22","Translocation of ZAP-70 to Immunological synapse",0.79336991,0.90843605,0.82958936247,0.185580045686534,-0.00564317499999994,-0.03621945247,0.05578890239,0.0389298749999999,0.00371926015933333,0.002595325,0.014279617262052,0.009964413911093,0.0144046326573107,0.0100516505029958,0.0738080416829065,22,8,15
"REACT:R-HSA-449147","OSMR","Signaling by Interleukins",0.965081927,0.51231399,0.533778207929,0.284608245397348,0.46137181,0.431303719071,0.432591119991,0.46137181,0.000143622549797809,0.000153177891766268,0.0374326909832853,0.0399231227688824,0.00788224838945064,0.00840666171415189,0.279374039361078,528,438,3012
"REACT:R-HSA-449147","OSM","Signaling by Interleukins",0.966355366,0.52011805,0.542934520841,0.275207606280751,0.413657615,0.423420845159,0.423420845159,0.413657615,0.000140577969840305,0.000137336525564409,0.0366391747779014,0.035794349351184,0.00771515669319286,0.00753726075025669,0.268268826113661,528,438,3012
"REACT:R-HSA-6783589","OSM","Interleukin-6 family signaling",0.966355366,0.988157075,0.94648510478,0.101387329681717,0.000399674999999988,0.01987026122,0.03895107462,0.01593442,0.000649184577,0.000265573666666667,0.00659417573248406,0.00269759863367818,0.00502856211067141,0.00205712477638248,0.0858768482971229,27,26,60
"REACT:R-HSA-6783589","OSMR","Interleukin-6 family signaling",0.965081927,0.98118105,0.9353596795,0.114492157796898,0.00228063499999998,0.0297222475,0.03735579714,0.00883574500000001,0.000622596619,0.000147262416666667,0.00632410513371827,0.0014958369140219,0.00482261267358409,0.00114068977454452,0.0827469811840222,27,26,60
"REACT:R-HSA-6785807","OSM","Interleukin-4 and 13 signaling",0.966355366,0.94243933,0.852728609456,0.194705738505967,0.04546968,0.113626756544,0.115509077064,0.045977615,0.000717447683627329,0.000285575248447205,0.0157564297869528,0.00627174141576471,0.00910339056492126,0.00362354368355549,0.172758108396373,114,96,161
"REACT:R-HSA-6788467","OSM","IL-6-type cytokine receptor ligand interactions",0.966355366,0.992097125,0.97256258335,0.048773815688732,-0.00114359000000003,-0.00620721735000002,0.02038586537,0.00579046499999997,0.0006370582928125,0.000180952031249999,0.004077173074,0.00115809299999999,0.00360374591087075,0.00102361926693083,0.0387726059762231,20,19,32
"REACT:R-HSA-6788467","OSMR","IL-6-type cytokine receptor ligand interactions",0.965081927,0.982174965,0.91114916554,0.169062592326449,0.00518554500000001,0.05393276146,0.05691693344,0.010117995,0.00177865417,0.00031618734375,0.011383386688,0.002023599,0.0100615873999418,0.00178862571912789,0.127203484494763,20,19,32
